user_id,hotel_name,rating,price,trip_type,companion,star,district,destination
,Regin Hotel,2.5,0.03247253,leisure,couple,3,Singapore,0
,Rendezvous Hotel Singapore by Far East Hospitality,4,0.088296461,business,family,4,Singapore,0
,Rendezvous Hotel Singapore by Far East Hospitality,4,0.144726284,leisure,friend,4,Singapore,0
,Rendezvous Hotel Singapore by Far East Hospitality,4,0.144726284,business,friend,4,Singapore,0
,Resorts World Sentosa - Beach Villas,4.5,0.533938134,leisure,couple,5,Sentosa Island, Singapore
,Resorts World Sentosa - Beach Villas,4.5,0.533938134,business,couple,5,Sentosa Island, Singapore
,Resorts World Sentosa - Festive Hotel,3.5,0.110779963,business,solo,5,Sentosa Island, Singapore
,Resorts World Sentosa - Festive Hotel,3.5,0.110779963,leisure,solo,5,Sentosa Island, Singapore
,River City Inn,5,0.019650548,leisure,couple,1,Boat Quay, Singapore
,River City Inn,5,0.019650548,business,couple,1,Boat Quay, Singapore
,Robertson Quay Hotel,3,0.037188662,leisure,couple,3,Robertson Quay, Singapore
,Robertson Quay Hotel,3,0.035665744,business,solo,3,Robertson Quay, Singapore
,Robertson Quay Hotel,3,0.035665744,leisure,solo,3,Robertson Quay, Singapore
,Robertson Quay Hotel,3,0.037188662,business,couple,3,Robertson Quay, Singapore
,Royal Hostel Singapore,4,0.03319305,business,friend,2,Chinatown, Singapore
,Royal Hostel Singapore,4,0.003995611,business,solo,2,Chinatown, Singapore
,Royal Hostel Singapore,4,0.013722633,leisure,couple,2,Chinatown, Singapore
,Royal Hostel Singapore,4,0.03319305,leisure,friend,2,Chinatown, Singapore
,Royal Hostel Singapore,4,0.003995611,leisure,solo,2,Chinatown, Singapore
,Royal Plaza on Scotts,4.5,0.088296461,business,family,5,Orchard, Singapore
,Royal Plaza on Scotts,4.5,0.174971752,leisure,friend,5,Orchard, Singapore
,Royal Plaza on Scotts,4.5,0.174971752,business,friend,5,Orchard, Singapore
,Rucksack Inn @ Lavender Street,4,0.003487972,business,solo,2,Singapore,0
,Rucksack Inn @ Lavender Street,4,0.003487972,leisure,solo,2,Singapore,0
,Rucksack Inn @ Lavender Street,4,0.062947255,business,friend,2,Singapore,0
,Rucksack Inn @ Lavender Street,4,0.062947255,leisure,friend,2,Singapore,0
,Rucksack Inn @ Lavender Street,4,0.031162494,business,couple,2,Singapore,0
,Rucksack Inn@Mackenzie,4,0.046146036,business,couple,3,Selegie, Singapore
,Rucksack Inn@Mackenzie,4,0.030769483,business,solo,3,Selegie, Singapore
,Rucksack Inn@Mackenzie,4,0.046146036,leisure,couple,3,Selegie, Singapore
,Rucksack Inn@Mackenzie,4,0.030769483,leisure,solo,3,Selegie, Singapore
,Rucksack Inn@Mackenzie,4,0.06581296,business,family,3,Selegie, Singapore
,Santa Grand Hotel Bugis,3,0.029017309,business,solo,3,Kampong Glam, Singapore
,Santa Grand Hotel Bugis,3,0.040594757,business,family,3,Kampong Glam, Singapore
,Santa Grand Hotel Bugis,3,0.029017309,leisure,solo,3,Kampong Glam, Singapore
,Santa Grand Hotel Bugis,3,0.029017309,leisure,couple,3,Kampong Glam, Singapore
,Santa Grand Hotel Bugis,3,0.029017309,business,couple,3,Kampong Glam, Singapore
,Santa Grand Hotel East Coast,4,0.04393535,leisure,solo,3,Katong, Singapore
,Santa Grand Hotel East Coast,4,0.093618485,business,friend,3,Katong, Singapore
,Santa Grand Hotel East Coast,4,0.049453879,business,family,3,Katong, Singapore
,Santa Grand Hotel East Coast,4,0.093618485,leisure,friend,3,Katong, Singapore
,Santa Grand Hotel East Coast,4,0.049453879,leisure,family,3,Katong, Singapore
,Santa Grand Hotel East Coast,4,0.04393535,business,solo,3,Katong, Singapore
,Santa Grand Hotel Lai Chun Yuen,3,0.074148067,leisure,friend,3,Chinatown, Singapore
,Santa Grand Hotel Lai Chun Yuen,3,0.074148067,business,friend,3,Chinatown, Singapore
,Santa Grand Hotel Lai Chun Yuen,3,0.034208329,leisure,couple,3,Chinatown, Singapore
,Santa Grand Hotel Lai Chun Yuen,3,0.034208329,business,couple,3,Chinatown, Singapore
,Santa Grand Hotel Lai Chun Yuen,3,0.023793538,business,solo,3,Chinatown, Singapore
,Santa Grand Hotel Lai Chun Yuen,3,0.023793538,leisure,solo,3,Chinatown, Singapore
,Santa Grand Hotel Little India,3,0.032488906,leisure,couple,2,Little India, Singapore
,Santa Grand Hotel Little India,3,0.02728151,business,solo,2,Little India, Singapore
